Ecm_cutoff,Lbyas,irrep,level_index_original,level_index_used,lattice_Ecm,lattice_Ecm_err_or_sigma,lab_energy_if_available,row_source_file,source_line_or_row,status
0.345,0.345,20,100_A2,1,1,0.30003551382783655,PENDING_COVARIANCE,0.3136254975124378,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n1.jack,jackknife mean,USED
0.345,0.345,20,110_A2,0,0,0.3073332928312637,PENDING_COVARIANCE,0.33334844444444445,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n0.jack,jackknife mean,USED
0.345,0.345,20,110_A2,1,1,0.31643789359657865,PENDING_COVARIANCE,0.341757535655058,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n1.jack,jackknife mean,USED
0.345,0.345,20,110_A2,2,2,0.31813597720593845,PENDING_COVARIANCE,0.34337488391376453,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n2.jack,jackknife mean,USED
0.345,0.345,20,110_A2,3,3,0.3291548445548671,PENDING_COVARIANCE,0.3535632072968491,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n3.jack,jackknife mean,USED
0.345,0.345,20,111_A2,0,0,0.3203580134880505,PENDING_COVARIANCE,0.3572540149253731,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n0.jack,jackknife mean,USED
0.345,0.345,20,111_A2,1,1,0.3341317314959343,PENDING_COVARIANCE,0.3696951592039801,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n1.jack,jackknife mean,USED
0.345,0.345,20,111_A2,2,2,0.3385401361585872,PENDING_COVARIANCE,0.37364162354892205,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n2.jack,jackknife mean,USED
0.345,0.345,20,111_A2,3,3,0.344158142447867,PENDING_COVARIANCE,0.37874023714759536,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n3.jack,jackknife mean,USED
0.345,0.345,20,200_A2,0,0,0.2866396248038105,PENDING_COVARIANCE,0.33987157545605307,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n0.jack,jackknife mean,USED
0.345,0.345,20,200_A2,1,1,0.2993265535424013,PENDING_COVARIANCE,0.35062557877280265,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n1.jack,jackknife mean,USED
0.345,0.345,20,200_A2,2,2,0.3309425474900397,PENDING_COVARIANCE,0.3779695008291874,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n2.jack,jackknife mean,USED
0.355,0.355,20,000_A1m,0,0,0.2692266019900497,PENDING_COVARIANCE,0.2692266019900497,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_000_A1m_n0.jack,jackknife mean,USED
0.355,0.355,20,000_A1m,1,1,0.345606144278607,PENDING_COVARIANCE,0.345606144278607,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_000_A1m_n1.jack,jackknife mean,USED
0.355,0.355,20,100_A2,0,0,0.2916083321793744,PENDING_COVARIANCE,0.3055659585406302,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n0.jack,jackknife mean,USED
0.355,0.355,20,100_A2,1,1,0.30003551382783655,PENDING_COVARIANCE,0.3136254975124378,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n1.jack,jackknife mean,USED
0.355,0.355,20,110_A2,0,0,0.3073332928312637,PENDING_COVARIANCE,0.33334844444444445,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n0.jack,jackknife mean,USED
0.355,0.355,20,110_A2,1,1,0.31643789359657865,PENDING_COVARIANCE,0.341757535655058,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n1.jack,jackknife mean,USED
0.355,0.355,20,110_A2,2,2,0.31813597720593845,PENDING_COVARIANCE,0.34337488391376453,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n2.jack,jackknife mean,USED
0.355,0.355,20,110_A2,3,3,0.3291548445548671,PENDING_COVARIANCE,0.3535632072968491,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n3.jack,jackknife mean,USED
0.355,0.355,20,111_A2,0,0,0.3203580134880505,PENDING_COVARIANCE,0.3572540149253731,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n0.jack,jackknife mean,USED
0.355,0.355,20,111_A2,1,1,0.3341317314959343,PENDING_COVARIANCE,0.3696951592039801,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n1.jack,jackknife mean,USED
0.355,0.355,20,111_A2,2,2,0.3385401361585872,PENDING_COVARIANCE,0.37364162354892205,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n2.jack,jackknife mean,USED
0.355,0.355,20,111_A2,3,3,0.344158142447867,PENDING_COVARIANCE,0.37874023714759536,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n3.jack,jackknife mean,USED
0.355,0.355,20,111_A2,4,4,0.35102907157665364,PENDING_COVARIANCE,0.3849918573797678,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n4.jack,jackknife mean,USED
0.355,0.355,20,200_A2,0,0,0.2866396248038105,PENDING_COVARIANCE,0.33987157545605307,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n0.jack,jackknife mean,USED
0.355,0.355,20,200_A2,1,1,0.2993265535424013,PENDING_COVARIANCE,0.35062557877280265,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n1.jack,jackknife mean,USED
0.355,0.355,20,200_A2,2,2,0.3309425474900397,PENDING_COVARIANCE,0.3779695008291874,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n2.jack,jackknife mean,USED
0.355,0.355,20,200_A2,3,3,0.34738106818878695,PENDING_COVARIANCE,0.39260438971807626,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n3.jack,jackknife mean,USED
